B;9;accident involving (a/$Q) bus(es);accident involving (a) bus(es);;;
B;10;($Q) shed load(s);shed load(s);;;
B;11;($Q) broken down vehicle(s);broken down vehicle(s);;;
B;12;($Q) broken down heavy lorr(y/ies);broken down heavy lorr(y/ies);;;
B;13;($Q) vehicle fire(s);vehicle fire(s);;;
B;14;($Q) incident(s);incident(s);;;
B;15;($Q) oil spillage accident(s);oil spillage accident(s);;;
B;16;($Q) overturned vehicle(s);overturned vehicle(s);;;
B;17;($Q) overturned heavy lorr(y/ies);overturned heavy lorr(y/ies);;;
B;18;($Q) jack-knifed trailer(s);jack-knifed trailer(s);;;
B;19;($Q) jack-knifed caravan(s);jack-knifed caravan(s);;;
B;20;($Q) jack-knifed articulated lorr(y/ies);jack-knifed articulated lorr(y/ies);;;
B;21;($Q) vehicle(s) spun around;vehicle(s) spun around;;;
B;22;($Q) earlier accident(s);earlier accident(s);;;
B;23;accident investigation work;;;;
B;24;($Q) secondary accident(s);secondary accident(s);;;
B;25;($Q) broken down bus(es);broken down bus(es);;;
B;26;($Q) over-height vehicle(s);over-height vehicle(s);;;
B;30;($Q) unprotected accident area(s);unprotected accident area(s);;;
B;50;over-height warning system triggered;;;;
B;95;all accidents cleared, no problems to report;;;;
B;96;road cleared;;;;
B;97;incident cleared;;;;
B;98;accident cleared;;;;
C;1;closed;;;;
C;2;blocked;;;;
C;3;closed ahead;;;;
C;4;blocked ahead;;;;
C;5;no through traffic;;;;
C;6;($Q th) entry slip road closed;entry slip road closed;;;
C;7;($Q th) exit slip road closed;exit slip road closed;;;
C;8;slip roads closed;;;;
C;9;slip road restrictions;;;;
C;10;($Q) entry slip road(s) closed;entry slip road(s) closed;;;
C;11;($Q th) entry slip road blocked;entry slip road blocked;;;
C;12;entry blocked;;;;
C;13;($Q) exit slip road(s) closed;exit slip road(s) closed;;;
C;14;($Q th) exit slip road blocked;exit slip road blocked;;;
C;15;exit blocked;;;;
C;16;slip roads blocked;;;;
C;17;connecting carriageway closed;;;;
C;18;parallel carriageway closed;;;;
C;19;right-hand parallel carriageway closed;;;;
C;20;left-hand parallel carriageway closed;;;;
C;21;express lanes closed;;;;
C;22;through traffic lanes closed;;;;
C;23;local lanes closed;;;;
C;24;connecting carriageway blocked;;;;
C;25;parallel carriageway blocked;;;;
C;26;right-hand parallel carriageway blocked;;;;
C;27;left-hand parallel carriageway blocked;;;;
C;28;express lanes blocked;;;;
C;29;through traffic lanes blocked;;;;
C;30;local lanes blocked;;;;
C;31;no motor vehicles;;;;
C;32;restrictions;;;;
C;34;carriageway closed;;;;
C;35;both directions closed;;;;
C;51;service area, fuel station closed;;;;
C;52;service area, restaurant closed;;;;
C;53;bridge closed;;;;
C;54;tunnel closed;;;;
C;55;bridge blocked;;;;
C;56;runnel blocked;;;;
C;57;road closed intermittently;;;;
C;58;service area overcrowded, drive to another service area;;;;
C;59;service area busy;;;;
C;86;all carriageways cleared;;;;
C;87;reopened for through traffic;;;;
C;88;fuel station reopened;;;;
C;89;restaurant reopened;;;;
C;90;open;;;;
C;91;road cleared;;;;
C;92;entry reopened;;;;
C;93;exit reopened;;;;
C;94;all carriageways reopened;;;;
C;95;motor vehicle restrictions lifted;;;;
C;96;traffic restrictions lifted;;;;reopened for all traffic
C;97;slip roads reopened;;;;
C;98;reopened;;;;
D;1;($Q) lanes closed;lanes closed;;;
D;2;($Q) right lane(s) closed;right lane(s) closed;;;
D;3;($Q) centre lane(s) closed;centre lane(s) closed;;;
D;4;($Q) left lane(s) closed;left lane(s) closed;;;
D;5;hard shoulder closed;;;;
D;6;two lanes closed;;;;
D;7;three lanes closed;;;;
D;8;($Q) right lane(s) blocked;right lane(s) blocked;;;
D;9;($Q) centre lane(s) blocked;centre lane(s) blocked;;;
D;10;($Q) left lane(s) blocked;left lane(s) blocked;;;
D;11;hard shoulder blocked;;;;
D;12;two lanes blocked;;;;
D;13;three lanes blocked;;;;
D;14;emergency lane closed;;;;
D;15;carriageway reduced (from $Q lanes) to one lane;carriageway reduced to one lane;;;
D;16;carriageway reduced (from $Q lanes) to two lanes;carriageway reduced to two lanes;;;
D;17;carriageway reduced (from $Q lanes) to three lanes;carriageway reduced to three lanes;;;
D;18;contraflow;;;;
D;19;narrow lanes;;;;
D;20;turning lane closed;;;;
D;21;($Q) lane(s) blocked;lane(s) blocked;;;
D;22;crawler lane closed;;;;
D;24;one lane closed;;;;
D;25;emergency lane blocked;;;;
D;27;crawler lane blocked;;;;
D;29;one lane blocked;;;;
D;30;($Q person) carpool lane in operation;carpool lane in operation;;;
D;31;($Q person) carpool lane closed;carpool lane closed;;;
D;32;($Q person) carpool lane blocked;carpool lane blocked;;;
D;33;carpool restrictions changed (to $Q persons per vehicle);carpool restrictions changed;;;
D;34;use of hard shoulder allowed;;;;
D;35;bus lane available for carpools (with at least $Q occupants);bus lane available for carpools;;;
D;38;carpool lane available for all vehicles;;;;
D;40;bus lane closed;;;;
D;41;bus lane blocked;;;;
D;44;heavy vehicle lane closed;;;;
D;45;heavy vehicle lane blocked;;;;
D;46;heavy vehicle lane available for all vehicles;;;;
D;50;($Q) overtaking lane(s) closed;overtaking lane(s) closed;;;
D;51;($Q) overtaking lane(s) blocked;overtaking lane(s) blocked;;;
D;53;allow emergency vehicles to pass in the carpool lane;;;;
D;54;police directing traffic via the carpool lane;;;;
D;62;bus lane available for all vehicles;;;;
D;63;police directing traffic via the bus-lane;;;;
D;67;allow emergency vehicles to pass in the heavy vehicle lane;;;;
D;68;police directing traffic via the heavy vehicle lane;;;;
D;93;normal lane regulations restored;;;;
D;94;lane blockages cleared;;;;
D;95;($Q person) carpool restrictions lifted;carpool restrictions lifted;;;
D;96;contraflow removed;;;;
D;97;lane restrictions lifted;;;;
D;98;lane closures removed;;;;
E;1;($Q sets of) roadworks;roadworks;;;
E;2;($Q sets of) major roadworks;major roadworks;;;
E;3;($Q sets of) maintaince work;maintaince work;;;
E;4;($Q sections of) resurfacing work;resurfacing work;;;
E;5;($Q sets of) central reservation work;central reservation work;;;
E;6;($Q sets of) road marking work;road marking work;;;
E;7;bridge maintenance work (at $Q bridges);bridge maintenance work;;;
E;8;($Q sets of) temporary traffic lights;temporary traffic lights;;;
E;9;($Q sections of) blasting work;blasting work;;;
E;10;($Q sets of) long-term roadworks;long-term roadworks;;;
E;11;($Q sets of) construction work;construction work;;;
E;12;($Q sets of) slow moving maintenance vehicles;slow moving maintenance vehicles;;;
E;13;bridge demolition work (at $Q bridges);bridge demolition work;;;
E;14;single alternate line traffic;;;;
E;15;($Q sets of) water main work;water main work;;;
E;16;($Q sets of) gas main work;gas main work;;;
E;17;($Q sets of) work on buried cables;work on buried cables;;;
E;18;($Q sets of) work on buried services;work on buried services;;;
E;19;new roadworks layout;;;;
E;20;new road layout;;;;
E;21;construction traffic merge;;;;
E;22;roadwork clearance in progress;;;;
E;95;road layout unchanged;;;;
E;97;maintenance work cleared;;;;
E;98;roadworks cleared;;;;
F;1;($Q) obstruction(s) on the road;obstruction(s) on the road;;;something that does block the road or part of it
F;2;spillage on roadway;;;;
F;3;storm damage;;;;
F;4;($Q) fallen tree(s);fallen tree(s);;;
F;5;flooding;;;;
F;6;flash floods;;;;
F;7;avalanches (above $Q hundred metres);avalanches;;;
F;8;rockfalls;;;;
F;9;landslips;;;;
F;10;earthquake damage;;;;
F;12;subsidence;;;;
F;13;($Q) collapsed sewer(s);collapsed sewer(s);;;sewer collapse
F;14;burst water main;;;;
F;15;gas leak;;;;
F;16;serious fire;;;;
F;17;animals on roadway;;;;
F;18;clearance work;;;;
F;19;fallen power cables;;;;
F;20;sewer overflow;;;;
F;21;ice build-up (above $Q hundred metres);ice build-up;;;
F;22;mud slide;;;;
F;23;grass fire;;;;
F;24;air crash;;;;
F;25;rail crash;;;;
F;26;large animals on roadway;;;;
F;27;($Q) object(s) on roadway;object(s) on roadway;;;something that does not neccessarily block the road or part of it
F;28;burst pipe;;;;
F;29;rescue and recovery work in progress;;;;
F;30;herds of animals on roadway;;;;
F;51;($Q) burst pipe(s);burst pipe(s);;;
F;95;obstruction warning withdrawn;;;;
F;96;clearance work in progress, road free again;;;;
F;97;house fire;;;;
F;98;road free again;;;;
F;99;warning cleared;;;;
F;101;vehicle stuck under bridge;;;;
G;1;hazardous driving conditions (above $Q hundred metres);hazardous driving conditions;;;
G;2;aquaplaning;;;;
G;3;slippery road;;;;
G;4;mud on road;;;;
G;5;leaves on road;;;;
G;6;ice (above $Q hundred metres);ice;;;
G;7;black ice (above $Q hundred metres);black ice;;;
G;8;freezing rain (above $Q hundred metres);freezing rain;;;
G;9;wet and icy roads (above $Q hundred metres);wet and icy roads;;;
G;10;slush (above $Q hundred metres);slush;;;
G;11;snow on the road (above $Q hundred metres);snow on the road;;;
G;12;packed snow (above $Q hundred metres);packed snow;;;
G;13;fresh snow (above $Q hundred metres);fresh snow;;;
G;14;deep snow (above $Q hundred metres);deep snow;;;
G;15;snow drifts (above $Q hundred metres);snow drifts;;;
G;16;impassable (above $Q hundred metres);impassable;;;
G;17;almost impassable (above $Q hundred metres);almost impassable;;;
G;18;extremely hazardous driving conditions (above $Q hundred metres);extremely hazardous driving conditions;;;
G;19;difficult driving conditions (above $Q hundred metres);difficult driving conditions;;;
G;20;passable with care (up to $Q hundred metres);passable with care;;;
G;21;passable (up to $Q hundred metres);passable;;;
G;22;surface water hazard;;;;
G;23;loose sand on road;;;;
G;24;loose chippings;;;;
G;25;oil on road;;;;
G;26;petrol on road;;;;
G;27;road surface in poor condition;;;;
G;28;icy patches (above $Q hundred metres);icy patches;;;
G;29;snow and ice debris;;;;
G;80;rain changing to snow;;;;
G;81;snow changing to rain;;;;
G;95;snow cleared;;;;
G;96;driving conditions improved;;;;
G;97;skid hazard reduced;;;;
G;98;conditions of road surface improved;;;;
G;99;road conditions forecast withdrawn;;;;text for F message G99F
H;1;heavy snowfall ($Q);heavy snowfall;;;
H;2;snowfall ($Q);snowfall;;;
H;3;hail (visibility reduced to $Q);hail;;;
H;4;sleet (visibility reduced to $Q);sleet;;;
H;5;thunderstorms (visibility reduced to $Q);thunderstorms;;;
H;6;heavy rain ($Q);heavy rain;;;
H;7;rain ($Q);rain;;;
H;8;showers (visibility reduced to $Q);showers;;;
H;9;heavy frost;;;;
H;10;frost;;;;
H;11;overcast weather;;;;
H;12;mostly cloudy;;;;
H;13;partly cloudy;;;;
H;14;sunny periods;;;;
H;15;clear weather;;;;
H;16;sunny weather;;;;
H;17;mostly dry weather;;;;
H;18;dry weather;;;;
H;19;winter storm (visibility reduced to $Q);winter storm;;;
H;20;blizzard (visibility reduced to $Q);blizzard;;;
H;21;damaging hail (visibility reduced to $Q);damaging hail;;;
H;95;weather improved;;;;
H;96;fog improved;;;;
H;97;severe weather warnings cancelled;;;;text for F message H97F
H;98;weather situation improved;;;;
H;99;adverse weather warning withdrawn;;;;
J;1;tornadoes;;;;
J;2;hurricane force winds ($Q);hurricane force winds;;;
J;3;gales ($Q);gales;;;
J;4;storm force winds ($Q);storm force winds;;;
J;5;strong winds ($Q);strong winds;;;
J;6;moderate winds ($Q);moderate winds;;;
J;7;light winds ($Q);light winds;;;
J;8;calm weather;;;;
J;9;gusty winds ($Q);gusty winds;;;
J;10;crosswinds ($Q);crosswinds;;;
J;94;strong wind forecast withdrawn;;;;text for F message J94F
J;96;tornado warning ended;;;;
J;97;tornado watch cancelled;;;;text for F message J97F
J;98;strong winds easing;;;;J98F: wind forecast withdrawn
J;97;restrictions for high-sided vehicles lifted;;;;
L;1;dense fog (visibility reduced to $Q);dense fog;;;
L;2;fog (visibility reduced to $Q);fog;;;
L;3;patchy fog (visibility reduced to $Q);patchy fog;;;
L;4;freezing fog (visibility reduced to $Q);freezing fog;;;
L;5;smoke hazard (visibility reduced to $Q);smoke hazard;;;
L;6;blowing dust (visibility reduced to $Q);blowing dust;;;
L;7;severe exhaust pollution;;;;
L;8;visibility reduced (to $Q);visibility reduced;;;
L;11;spray hazard (visibility reduced to $Q);spray hazard;;;
L;12;low sun glare;;;;
L;13;sandstorms (visibility reduced to $Q);sandstorms;;;
L;14;air quality: good;;;;
L;15;air quality: fair;;;;
L;16;air quality: poor;;;;
L;17;air quality: very poor;;;;
L;18;smog alert;;;;
L;19;pollen count: high;;;;
L;20;pollen count: medium;;;;
L;21;pollen count: low;;;;
L;22;swarms of insects (visibility reduced to $Q);swarms of insects;;;
L;23;severe smog;;;;
L;24;severe exhaust pollution;;;;
L;30;smog alert (until $Q);smog alert;;;
L;37;closed for vehicles with less than three occupants;;;;not valid for lorries
L;38;closed for vehicles with only one occupant;;;;not valid for lorries
L;94;fog forecast withdrawn;;;;
L;95;fog clearing;;;;
L;96;smog alert ended;;;;
L;97;air quality improved;;;;
L;98;visibility improved;;;;
L;803;visibility reduced to <30m;;;;
L;805;visibility reduced to <50m;;;;
L;810;visibility reduced to <100m;;;;
M;1;maximum temperature (of $Q);maximum temperature;;;
M;2;hot (maximum temperature $Q);hot;;;
M;3;warm (maximum temperature $Q);warm;;;
M;4;mild (maximum temperature $Q);mild;;;
M;5;cool (maximum temperature $Q);cool;;;
M;6;cold (maximum temperature $Q);cold;;;
M;7;very cold (maximum temperature $Q);very cold;;;
M;8;temperature rising (to $Q);temperature rising;;;
M;9;minimum temperature (of $Q);minimum temperature;;;
M;10;temperature falling rapidly (to $Q);temperature falling rapidly;;;
M;11;current temperature ($Q);current temperature;;;M11F: temperature ($Q)
M;12;effective temperature, with wind chill ($Q);effective temperature, with wind chill;;;
M;14;extreme heat (up to $Q);extreme heat;;;
M;15;very warm (minimum temperature $Q);very warm;;;
M;16;warm (minimum temperature $Q);warm;;;
M;17;mild (minimum temperature $Q);mild;;;
M;18;cool (minimum temperature $Q);cool;;;
M;19;cold (minimum temperature $Q);cold;;;
M;20;very cold (minimum temperature $Q);very cold;;;
M;21;extreme cold (of $Q);extreme cold;;;
M;22;less extreme temperatures;;;;
P;1;major event;;;;
P;2;sports meeting;;;;
P;3;show;;;;
P;4;festival;;;;
P;5;exhibition;;;;
P;6;fair;;;;
P;7;market;;;;
P;8;ceremonial event;;;;
P;9;state occasion;;;;
P;10;parade;;;;
P;11;crowd;;;;
P;12;march;;;;
P;13;demonstration;;;;
P;14;public disturbance;;;;
P;15;security alert;;;;
P;16;bomb alert;;;;
P;17;international sports meeting;;;;
P;18;match;;;;
P;19;tournament;;;;
P;20;athletics meeting;;;;
P;21;ball game;;;;
P;22;boxing tournament;;;;
P;23;bull fight;;;;
P;24;cricket match;;;;
P;25;cycle race;;;;
P;26;football match;;;;
P;27;golf tournament;;;;
P;28;marathon;;;;
P;29;race meeting;;;;
P;30;rugby match;;;;
P;31;show jumping;;;;
P;32;tennis tournament;;;;
P;33;water sports meeting;;;;
P;34;winter sports meeting;;;;
P;35;funfair;;;;
P;36;trade fair;;;;
P;37;procession;;;;
P;38;sightseers obstructing access;;;;
P;39;people on roadway;;;;
P;40;children on roadway;;;;
P;41;cyclists on roadway;;;;
P;42;strike;;;;
P;43;security incident;;;;
P;44;police checkpoint;;;;
P;45;terrorist incident;;;;
P;46;gunfire on roadway;;;;
P;47;civil emergency;;;;
P;48;air raid;;;;
P;49;evacuation;;;;
P;50;several major events;;;;
P;51;automobile race;;;;
P;52;baseball game;;;;
P;53;basketball game;;;;
P;54;boat race;;;;
P;55;concert;;;;
P;56;hockey game;;;;
P;91;information about major event no longer valid;;;;
P;92;sports traffic cleared;;;;
P;93;traffic disruption cleared;;;;
P;95;air raid warning cancelled;;;;
P;96;civil emergency cancelled;;;;
P;97;security alert withdrawn;;;;
P;98;traffic has returned to normal;;;;
$Q;1;delays ($Q);delays;;;delays up to (..) minutes
$Q;2;long delays ($Q);long delays;;;
$Q;3;very long delays ($Q);very long delays;;;
$Q;4;service suspended (until $Q);service suspended;;;
$Q;5;($Q) service withdrawn;service withdrawn;;;
$Q;6;($Q) service(s) fully booked;service(s) fully booked;;;
$Q;7;delays of uncertain duration;;;;
$Q;8;delayed until further notice;;;;
$Q;9;cancellations;;;;
$Q;10;next departure ($Q);next departure;;;
$Q;11;park and ride service operating (until $Q);park and ride service operating;;;
$Q;12;park and ride service not operating (until $Q);park and ride service not operating;;;
$Q;13;special public transport service operating (until $Q);special public transport service operating;;;
$Q;14;normal services not operating (until $Q);normal services not operating;;;
$Q;15;rail services not operating (until $Q);rail services not operating;;;
$Q;16;bus services not operating (until $Q);bus services not operating;;;
$Q;17;shuttle service operating (until $Q);shuttle service operating;;;
$Q;18;free shuttle service operating (until $Q);free shuttle service operating;;;
$Q;19;underground service not operating (until $Q);underground service not operating;;;
$Q;20;rapid transit service not operating (until $Q);rapid transit service not operating;;;
$Q;21;delays ($Q) possible;delays possible;;;service not operating substitute service available
$Q;22;public transport strike;;;;
$Q;23;long delays;;;;
$Q;25;very long delays;;;;
$Q;26;rail services irregular. delays ($Q);rail services irregular. delays;;;
$Q;27;bus services irregular. delays ($Q);bus services irregular. delays;;;
$Q;28;underground services irregular;;;;
$Q;29;park and ride trip time ($Q);park and ride trip time;;;
$Q;30;ferry service not operating (until $Q);ferry service not operating;;;
$Q;31;rail services irregular;;;;
$Q;32;current trip time ($Q);current trip time;;;
$Q;33;expected trip time ($Q);expected trip time;;;
$Q;34;public transport services not operating;;;;
$Q;95;delay expected to be cleared;;;;
$Q;96;normal public transport services resumed;;;;
$Q;97;delays cleared;;;;
$Q;98;normal services resumed;;;;
$Q;101;delays up to one hour;;;;
$Q;102;delays up to two hours;;;;
$Q;103;delays up to three hours;;;;
$Q;104;delays up to four hours;;;;
$Q;105;delays up to five hours;;;;
$Q;199;delays of several hours;;;;
R;1;($Q) vehicle(s) on wrong carriageway;vehicle(s) on wrong carriageway;;;
R;2;($Q) reckless driver(s);reckless driver(s);;;
R;3;($Q) prohibited vehicle(s) on the roadway;prohibited vehicle(s) on the roadway;;;
R;4;($Q) emergency vehicles;emergency vehicles;;;
R;5;($Q) high-speed emergency vehicles;high-speed emergency vehicles;;;
R;6;high-speed chase (involving $Q vehicles);high-speed chase;;;
R;7;spillage occurring from moving vehicle;;;;
R;8;objects falling from moving vehicle;;;;
R;9;($Q) snowplough(s);snowplough(s);;;
R;10;($Q) unlit vehicle(s) on the road;unlit vehicle(s) on the road;;;
R;96;emergency vehicle warning cleared;;;;
R;97;road cleared;;;;
R;98;dangerous vehicle warning cleared;;;;
S;1;($Q) abnormal load(s);abnormal load(s);;;
S;2;($Q) wide load(s);wide load(s);;;
S;3;($Q) long load(s);long load(s);;;
S;4;($Q) slow vehicle(s);slow vehicle(s);;;
S;5;($Q) convoy(s);convoy(s);;;
S;6;($Q) track-laying vehicle(s);track-laying vehicle(s);;;
S;7;($Q) vehicle(s) carrying hazardous materials;vehicle(s) carrying hazardous materials;;;
S;8;($Q) military convoy(s);military convoy(s);;;
S;50;($Q) over-height load(s);over-height load(s);;;
S;96;hazardous load warning cleared;;;;
S;97;convoy cleared;;;;
S;98;exceptional load warning cleared;;;;
T;1;lane control signs not working;;;;
T;2;emergency telephones not working;;;;
T;3;emergency telephone number not working;;;;
T;4;($Q sets of) traffic lights not working;traffic lights not working;;;
T;5;($Q sets of ) traffic lights working incorrectly;traffic lights working incorrectly;;;
T;6;level crossing failure;;;;
T;7;lane control signs working incorrectly;;;;
T;8;lane control signs operating;;;;
T;9;variable message signs not working;;;;
T;10;variable message signs working incorrectly;;;;
T;11;variable message signs operating;;;;
T;12;($Q sets of) ramp control signals not working;ramp control signals not working;;;
T;13;($Q sets of) ramp control signals working incorrectly;ramp control signals working incorrectly;;;
T;14;($Q sets of) temporary traffic lights not working;temporary traffic lights not working;;;
T;15;($Q sets of) temporary traffic lights working incorrectly;temporary traffic lights working incorrectly;;;
T;14;temporary traffic lights not working;;;;
T;16;traffic signal control computer not working;;;;
T;17;traffic signal timings changed;;;;
T;18;tunnel ventilation not working;;;;
T;54;($Q sets of) traffic lights not working;traffic lights not working;;;
T;95;electronic signs repaired;;;;
T;96;emergency call facilities restored;;;;
T;97;traffic signals repaired;;;;
T;98;level crossing now working normally;;;;
T;99;power failure;;;;
U;1;temporary width limit ($Q);temporary width limit;;;
U;2;temporary height limit ($Q);temporary height limit;;;
U;3;temporary length limit ($Q);temporary length limit;;;
U;4;temporary axle load limit ($Q);temporary axle load limit;;;
U;5;temporary gross weight limit ($Q);temporary gross weight limit;;;
U;6;traffic regulations have been changed;;;;
U;7;police directing traffic;;;;
U;8;allow emergency vehicles to pass;;;;
U;94;temporary axle weight limit lifted;;;;
U;95;temporary height limit lifted;;;;
U;96;temporary length limit lifted;;;;
U;97;temporary gross weight limit lifted;;;;
U;98;temporary width limit lifted;;;;
X;1;normal parking restrictions lifted;;;;
X;2;special parking restrictions in force;;;;
X;3;car park ($Q) full;car park full;;;
X;4;all car parks ($Q) full;all car parks full;;;
X;5;less than ($Q) car parking spaces available;less than car parking spaces available;;;
X;6;no parking (until $Q);no parking;;;
X;40;no parking spaces available;;;;
X;41;only a few parking spaces available;;;;
X;42;($Q) parking spaces available;parking spaces available;;;
X;45;multi story car parks full;;;;
X;82;no problems to report with park and ride services;;;;
X;85;no park and ride information available (until $Q);no park and ride information available;;;
X;95;park and ride information service resumed;;;;
X;97;special parking restrictions lifted;;;;
X;98;no parking information available (until $Q);no parking information available;;;
X;300;full;;;;
X;310;10% full;;;;
X;320;20% full;;;;
X;330;30% full;;;;
X;340;40% full;;;;
X;350;50% full;;;;
X;360;60% full;;;;
X;370;70% full;;;;
X;380;80% full;;;;
X;390;90% full;;;;
X;510;less than 10 parking spaces available;;;;
X;520;less than 20 parking spaces available;;;;
X;530;less than 30 parking spaces available;;;;
X;540;less than 40 parking spaces available;;;;
X;550;less than 50 parking spaces available;;;;
Y;1;switch your car radio (to $Q);switch your car radio;;;identical to Y8
Y;2;no information available (until $Q);no information available;;;
Y;3;this message is for test purposes only (number $Q), please ignore;this message is for test purposes only, please ignore;;;
Y;4;rail information service not available;;;;
Y;5;rapid transit information service not available;;;;
Y;6;nothing to report;;;;
Y;7;(null event);;;;no event description but location etc. given in message
Y;8;switch your car radio (to $Q);switch your car radio;;;identical to Y1
Y;9;alarm call: important new information on this frequency follows now in normal programme;;;;
Y;10;alarm set: new information will be broadcast between these times in normal programme;;;;
Y;11;(null message);;;;completely silent message see EN ISO 14819-1 38110
Y;12;urgent information will be given (at $Q) on normal programme broadcasts;urgent information will be given on normal programme broadcasts;;;text for E message Y12E
Y;13;this TMC-service is not active (until $Q);this TMC-service is not active;;;
Y;14;additional regional information is provided by another TMC service;;;;
Y;15;additional local information is provided by another TMC service;;;;
Y;16;additional public transport information is provided by another TMC service;;;;
Y;17;national traffic information is provided by another TMC service;;;;
Y;18;this service provides major road information;;;;
Y;19;this service provides regional travel information;;;;
Y;20;this service provides local travel information;;;;
Y;21;no detailed regional information provided by this service;;;;
Y;22;no detailed local information provided by this service;;;;
Y;23;no cross-border information provided by this service;;;;
Y;24;information restricted to this area;;;;
Y;25;no new traffic information available (until $Q);no new traffic information available;;;
Y;26;no public transport information available;;;;
Y;27;this TMC-service is being suspended (at $Q);this TMC-service is being suspended;;;
Y;28;active TMC-service will resume (at $Q);active TMC-service will resume;;;text for E message Y28E
Y;29;detailed information will be given (at $Q) on normal programme broadcasts;detailed information will be given on normal programme broadcasts;;;text for E message Y12E
Y;30;detauled information is provided by another TMC service;;;;
Y;49;rail information service resumed;;;;
Y;59;rapid transit information service resumed;;;;
Y;95;reference to audio programmes no longer valid;;;;
Y;96;reference to other TMC services no longer valid;;;;
Y;97;previous announcement about this or other TMC services no longer valid;;;;
